sekcja|dzial|grupa|klasa|podklasa|nazwa
A|||||ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO
A|01||||UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ
A|01|01.1|||Uprawy rolne inne niż wieloletnie
A|01|01.1|01.11|01.11.Z|Uprawa zbóż, roślin strączkowych i roślin oleistych na nasiona, z wyłączeniem ryżu
A|01|01.1|01.12|01.12.Z|Uprawa ryżu
A|01|01.1|01.13|01.13.Z|Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych
A|01|01.1|01.14|01.14.Z|Uprawa trzciny cukrowej
A|01|01.1|01.15|01.15.Z|Uprawa tytoniu
A|01|01.1|01.16|01.16.Z|Uprawa roślin włóknistych
A|01|01.1|01.19|01.19.Z|Pozostałe uprawy rolne inne niż wieloletnie
A|01|01.2|||Uprawa roślin wieloletnich
A|01|01.2|01.21|01.21.Z|Uprawa winogron
A|01|01.2|01.22|01.22.Z|Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych
A|01|01.2|01.23|01.23.Z|Uprawa drzew i krzewów owocowych cytrusowych
A|01|01.2|01.24|01.24.Z|Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych
A|01|01.2|01.25|01.25.Z|Uprawa pozostałych drzew i krzewów owocowych oraz orzechów
A|01|01.2|01.26|01.26.Z|Uprawa drzew oleistych
A|01|01.2|01.27|01.27.Z|Uprawa roślin wykorzystywanych do produkcji napojów
A|01|01.2|01.28|01.28.Z|Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych
A|01|01.2|01.29|01.29.Z|Uprawa pozostałych roślin wieloletnich
A|01|01.3|01.30|01.30.Z|Rozmnażanie roślin
A|01|01.4|||Chów i hodowla zwierząt
A|01|01.4|01.41|01.41.Z|Chów i hodowla bydła mlecznego
A|01|01.4|01.42|01.42.Z|Chów i hodowla pozostałego bydła i bawołów
A|01|01.4|01.43|01.43.Z|Chów i hodowla koni i pozostałych zwierząt koniowatych
A|01|01.4|01.44|01.44.Z|Chów i hodowla wielbłądów i zwierząt wielbłądowatych
A|01|01.4|01.45|01.45.Z|Chów i hodowla owiec i kóz
A|01|01.4|01.46|01.46.Z|Chów i hodowla świń
A|01|01.4|01.47|01.47.Z|Chów i hodowla drobiu
A|01|01.4|01.49|01.49.Z|Chów i hodowla pozostałych zwierząt
A|01|01.5|01.50|01.50.Z|Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)
A|01|01.6|||Działalność usługowa wspomagająca rolnictwo i następująca po zbiorach
A|01|01.6|01.61|01.61.Z|Działalność usługowa wspomagająca produkcję roślinną
A|01|01.6|01.62|01.62.Z|Działalność usługowa wspomagająca chów i hodowlę zwierząt gospodarskich
A|01|01.6|01.63|01.63.Z|Działalność usługowa następująca po zbiorach
A|01|01.6|01.64|01.64.Z|Obróbka nasion dla celów rozmnażania roślin
A|01|01.7|01.70|01.70.Z|Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową
A|02||||LEŚNICTWO I POZYSKIWANIE DREWNA
A|02|02.1|02.10|02.10.Z|Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych
A|02|02.2|02.20|02.20.Z|Pozyskiwanie drewna
A|02|02.3|02.30|02.30.Z|Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna
A|02|02.4|02.40|02.40.Z|Działalność usługowa związana z leśnictwem
A|03||||RYBACTWO
A|03|03.1|||Rybołówstwo
A|03|03.1|03.11|03.11.Z|Rybołówstwo w wodach morskich
