uuid,Nazwa,Utworzenie,organ_nadzorujacy,rodzaj,panstwowy_instytut_badawczy,typ,typ_instytucji_naukowej,REGON,NIP,NIP2,KRS,www,e-mail,telefon,kraj,wojewodztwo,ulica,numer,kod_pocztowy,miasto
404c795b-7344-452b-b4c2-4a7a3496dd9e,Akademia Ateneum w Gdańsku,2004-07-02,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,193055907,9570885833,9570885833,,http://www.ateneum.edu.pl,rektor@ateneum.edu.pl,058-7220880,Polska,pomorskie,ul. 3 Maja,25 A,80-802,Gdańsk
7b1ecf5e-1c1d-40d0-91a9-cbde801c4409,Akademia Bialska Nauk Stosowanych im. Jana Pawła II,2000-08-01,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,030310705,5372131853,5372131853,,http://www.akademiabialska.pl,kontakt@akademiabialska.pl,83 344 99 00,Polska,lubelskie,ul. Sidorska,95/97,21-500,Biała Podlaska
2d00d06e-140e-46c4-be04-bf77ae1c73ca,Akademia Ekonomiczno-Humanistyczna w Warszawie,2003-01-23,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,akademicka,,017280390,5252208719,5252208719,,http://www.vizja.pl,rektorat@vizja.pl,225365411,Polska,mazowieckie,ul. Okopowa,59,01-043,Warszawa
1cb32064-70d2-4de8-b43f-8e67b8a4286b,Akademia Finansów i Biznesu Vistula,1992-01-22,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,akademicka,,011021150,5260009816,5260009816,,http://www.vistula.edu.pl,info@vistula.edu.pl,+48 22-45-72-300,Polska,mazowieckie,ul. Stokłosy,3,02-787,Warszawa
919617f6-b49f-4075-b60b-465136e8dcb3,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,1919-10-20,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,akademicka,,000001577,6750001923,6750001923,,http://www.agh.edu.pl,biuro@agh.edu.pl,12-617-45-54,Polska,małopolskie,al. Aleja Adama Mickiewicza,30,30-059,Kraków
58dcc6b4-cc40-4c1f-ad2d-46bc7fa9f3b5,Akademia Górnośląska im. Wojciecha Korfantego w Katowicach,1994-06-15,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,akademicka,,272199522,9540007281,9540007281,,http://www.gwsh.pl,rektor@gwsh.pl,323570539,Polska,śląskie,ul. Harcerzy Września 1939,3,40-659,Katowice
dc6549a6-0a9e-4dc3-831c-451447b68c58,Akademia Handlowa Nauk Stosowanych w Radomiu,1998-07-29,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,zawodowa,,670195619,9482027811,9482027811,,http://www.ahns.pl,kadry@ahns.pl,048 363 22 90,Polska,mazowieckie,ul. Tadeusza Mazowieckiego,7A,26-600,Radom
187760da-93f3-452f-962e-dcbd2218aacc,Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku,1994-07-21,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,akademicka,,130176830,5681149880,5681149880,,http://www.ah.edu.pl,rektorat@ah.edu.pl,(23) 692 98 13,Polska,mazowieckie,ul. Ignacego Daszyńskiego,17,06-100,Pułtusk
669fee72-713b-4509-99a3-81f522cb7159,Akademia Humanistyczno-Ekonomiczna w Łodzi,1993-10-05,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia niepubliczna,false,akademicka,,470810663,7251014115,7251014115,,http://www.ahe.lodz.pl,rektorat@ahe.lodz.pl,42 631-58-06 ,Polska,łódzkie,ul. dr. Seweryna Sterlinga,26,90-212,Łódź
f39171b5-f192-4064-bc1b-c5c84006a634,Akademia Ignatianum w Krakowie,1932-09-08,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia kościelna,false,akademicka,,357244777,6761687491,6761687491,,http://ignatianum.edu.pl,rektorat@ignatianum.edu.pl,12 399 95 02,Polska,małopolskie,ul. Mikołaja Kopernika,26,31-501,Kraków
bafdd534-9afd-4d8d-9412-30dc2d48ab6b,Akademia im. Jakuba z Paradyża,1998-07-21,Minister Edukacji i Nauki (poprzednio MNiSW),Uczelnia publiczna,false,zawodowa,,365193022,1040001590,1040001590,,http://www.ajp.edu.pl,rektor@ajp.edu.pl,+48 95 7 216 022,Polska,lubuskie,ul. Teatralna,25,66-400,Gorzów Wielkopolski
